query,group,time,value
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-14T16:00:00.000Z,12
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-15T08:00:00.000Z,7
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-15T16:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-16T08:00:00.000Z,2
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-16T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-17T08:00:00.000Z,4
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-17T16:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-18T08:00:00.000Z,3
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-18T16:00:00.000Z,11
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-21T08:00:00.000Z,4
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-21T16:00:00.000Z,17
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-22T08:00:00.000Z,2
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-22T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-23T08:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-23T16:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-24T08:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-24T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-25T08:00:00.000Z,2
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-25T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-28T00:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-28T08:00:00.000Z,4
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-28T16:00:00.000Z,8
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-29T08:00:00.000Z,6
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-29T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-30T00:00:00.000Z,2
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-30T08:00:00.000Z,7
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-04-30T16:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-01T08:00:00.000Z,6
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-01T16:00:00.000Z,2
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-02T08:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-02T16:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-05T00:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-05T08:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-05T16:00:00.000Z,13
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-06T08:00:00.000Z,3
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-06T16:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-07T08:00:00.000Z,3
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-07T16:00:00.000Z,7
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-08T08:00:00.000Z,7
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-08T16:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-09T08:00:00.000Z,6
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-09T16:00:00.000Z,12
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-11T16:00:00.000Z,16
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-12T00:00:00.000Z,30
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-12T08:00:00.000Z,19
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-12T16:00:00.000Z,38
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-13T08:00:00.000Z,9
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-13T16:00:00.000Z,4
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-14T00:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-14T08:00:00.000Z,11
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-14T16:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-15T08:00:00.000Z,7
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-15T16:00:00.000Z,12
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-16T08:00:00.000Z,8
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-16T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-19T08:00:00.000Z,3
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-19T16:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-20T08:00:00.000Z,4
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-20T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-21T08:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-21T16:00:00.000Z,9
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-22T08:00:00.000Z,10
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-22T16:00:00.000Z,853
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-23T08:00:00.000Z,12
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-23T16:00:00.000Z,7
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-26T08:00:00.000Z,2
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-26T16:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-27T08:00:00.000Z,9
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-27T16:00:00.000Z,6
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-28T00:00:00.000Z,6
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-28T08:00:00.000Z,9
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-28T16:00:00.000Z,6
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-29T08:00:00.000Z,33
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-29T16:00:00.000Z,11
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-30T08:00:00.000Z,13
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-30T16:00:00.000Z,24
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-05-31T00:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-02T08:00:00.000Z,12
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-02T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-03T08:00:00.000Z,4
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-03T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-04T08:00:00.000Z,4
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-04T16:00:00.000Z,1
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-05T08:00:00.000Z,10
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-05T16:00:00.000Z,71
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-06T08:00:00.000Z,6
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-06T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-09T08:00:00.000Z,31
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-09T16:00:00.000Z,26
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-10T08:00:00.000Z,9
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-10T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-11T08:00:00.000Z,4
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-11T16:00:00.000Z,N/A
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-12T08:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-12T16:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-13T08:00:00.000Z,97
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-13T16:00:00.000Z,350
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-14T00:00:00.000Z,1236
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-16T08:00:00.000Z,98
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-16T16:00:00.000Z,1138
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-17T08:00:00.000Z,91
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-17T16:00:00.000Z,1145
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-18T08:00:00.000Z,98
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-18T16:00:00.000Z,2378
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-19T00:00:00.000Z,620
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-19T16:00:00.000Z,620
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-20T08:00:00.000Z,96
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:fail,2025-06-20T16:00:00.000Z,1144
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-03-25T08:00:00.000Z,222
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-03-25T16:00:00.000Z,306
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-03-26T00:00:00.000Z,552
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-03-26T08:00:00.000Z,268
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-03-26T16:00:00.000Z,306
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-03-27T08:00:00.000Z,263
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-03-27T16:00:00.000Z,24
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-03-28T08:00:00.000Z,273
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-03-28T16:00:00.000Z,1161
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-03-31T08:00:00.000Z,231
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-03-31T16:00:00.000Z,630
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-01T08:00:00.000Z,263
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-01T16:00:00.000Z,24
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-02T08:00:00.000Z,68
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-02T16:00:00.000Z,218
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-03T08:00:00.000Z,263
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-03T16:00:00.000Z,24
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-04T08:00:00.000Z,273
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-04T16:00:00.000Z,301
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-06T08:00:00.000Z,287
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-07T08:00:00.000Z,254
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-07T16:00:00.000Z,33
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-08T08:00:00.000Z,279
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-08T16:00:00.000Z,295
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-09T08:00:00.000Z,282
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-09T16:00:00.000Z,5
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-10T08:00:00.000Z,259
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-10T16:00:00.000Z,28
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-11T08:00:00.000Z,282
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-11T16:00:00.000Z,910
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-12T00:00:00.000Z,577
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-14T08:00:00.000Z,249
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-14T16:00:00.000Z,354
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-15T08:00:00.000Z,258
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-15T16:00:00.000Z,44
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-16T08:00:00.000Z,270
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-16T16:00:00.000Z,32
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-17T08:00:00.000Z,259
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-17T16:00:00.000Z,42
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-18T08:00:00.000Z,268
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-18T16:00:00.000Z,634
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-21T08:00:00.000Z,259
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-21T16:00:00.000Z,641
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-22T08:00:00.000Z,274
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-22T16:00:00.000Z,28
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-23T08:00:00.000Z,177
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-23T16:00:00.000Z,427
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-24T08:00:00.000Z,267
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-24T16:00:00.000Z,35
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-25T08:00:00.000Z,275
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-25T16:00:00.000Z,27
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-28T00:00:00.000Z,302
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-28T08:00:00.000Z,257
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-28T16:00:00.000Z,346
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-29T08:00:00.000Z,244
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-29T16:00:00.000Z,58
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-30T00:00:00.000Z,302
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-30T08:00:00.000Z,266
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-04-30T16:00:00.000Z,35
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-01T08:00:00.000Z,257
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-01T16:00:00.000Z,45
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-02T08:00:00.000Z,262
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-02T16:00:00.000Z,40
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-05T00:00:00.000Z,302
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-05T08:00:00.000Z,242
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-05T16:00:00.000Z,362
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-06T08:00:00.000Z,231
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-06T16:00:00.000Z,71
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-07T08:00:00.000Z,246
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-07T16:00:00.000Z,358
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-08T08:00:00.000Z,229
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-08T16:00:00.000Z,73
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-09T08:00:00.000Z,247
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-09T16:00:00.000Z,354
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-11T16:00:00.000Z,295
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-12T00:00:00.000Z,592
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-12T08:00:00.000Z,211
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-12T16:00:00.000Z,1284
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-13T08:00:00.000Z,229
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-13T16:00:00.000Z,317
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-14T00:00:00.000Z,57
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-14T08:00:00.000Z,235
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-14T16:00:00.000Z,67
"count[test_level:test @test.service:qasabotium_stage @git.branch:main @env:*]",'@test.status:pass,2025-05-15T08:00:00.000Z,221
